NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,CORR_lin,CORR_akima,CORR_spline,CORR_quad,CORR_pchip,RMSE,RMSE_lin,RMSE_akima,RMSE_spline,RMSE_quad,RMSE_pchip,STDR
ms_pully,2,25,15,120,0.9584,0.9362,0.7302,0.4334,0.4156,0.9354,3.6137,4.4519,10.7569,24.0484,26.8376,4.4824,0.9993
ms_pully,2,25,15,144,0.9559,0.9195,0.6873,0.2898,0.2711,0.9083,3.714,5.019,12.68,41.4023,49.3935,5.3785,0.9986
ms_pully,3,25,5,24,0.9896,0.9858,0.9777,0.9427,0.9412,0.9849,1.8108,2.1164,2.6666,4.3803,4.4553,2.1836,1.0002
ms_pully,3,25,5,48,0.9866,0.9823,0.9649,0.8308,0.8113,0.981,2.0582,2.361,3.3414,8.1022,8.7672,2.4456,1.0005
ms_pully,3,25,5,72,0.9887,0.9833,0.9496,0.8516,0.7835,0.9826,1.8908,2.305,4.0802,7.7179,9.9314,2.3536,1.0003
ms_pully,3,25,5,96,0.9848,0.9739,0.8558,0.6005,0.6147,0.9726,2.1878,2.8691,7.2108,15.8331,15.9239,2.9386,0.9997
ms_pully,3,25,5,120,0.986,0.9705,0.8872,0.5752,0.4421,0.9673,2.1017,3.0605,6.3163,16.5246,22.6296,3.2292,0.9995
ms_pully,3,25,5,144,0.9861,0.9747,0.806,0.3972,0.3755,0.9711,2.0944,2.8185,8.706,26.3047,28.202,3.0095,0.9993
ms_pully,3,25,10,24,0.9784,0.9726,0.9695,0.896,0.9,0.9726,2.6208,2.9394,3.1128,6.0461,5.9271,2.9395,1.0015
ms_pully,3,25,10,48,0.9757,0.9672,0.9155,0.7107,0.7019,0.9649,2.7714,3.2291,5.3908,12.726,12.9317,3.3473,1.0018
ms_pully,3,25,10,72,0.9754,0.965,0.8575,0.4525,0.4549,0.9621,2.7919,3.3214,7.2409,24.5366,24.116,3.4637,1.001
ms_pully,3,25,10,96,0.9715,0.9392,0.7944,0.5684,0.5189,0.9392,3.0083,4.4739,9.363,17.6614,20.4989,4.4738,1.0017
ms_pully,3,25,10,120,0.9698,0.9441,0.8232,0.4431,0.3828,0.9399,3.0842,4.2012,8.1082,24.7768,27.5029,4.3669,1.001
ms_pully,3,25,10,144,0.9723,0.9579,0.5301,0.3217,0.3802,0.9561,2.9583,3.6501,18.8836,35.4338,29.2342,3.7256,1.0013
ms_pully,3,25,15,24,0.968,0.9549,0.9275,0.8524,0.8434,0.9544,3.1772,3.7837,4.9236,7.5107,7.7978,3.8075,1.0018
ms_pully,3,25,15,48,0.9669,0.9563,0.8858,0.6804,0.6819,0.9532,3.2307,3.702,6.2881,13.3067,13.0641,3.8372,1.0015
ms_pully,3,25,15,72,0.9593,0.9406,0.7766,0.3945,0.3835,0.9385,3.5787,4.3218,9.4702,25.2992,26.0349,4.3997,0.9998
ms_pully,3,25,15,96,0.9608,0.9364,0.8022,0.3847,0.3743,0.9303,3.5047,4.4463,8.7262,28.8664,28.9104,4.6628,1.0016
ms_pully,3,25,15,120,0.9599,0.9209,0.6345,0.3907,0.3232,0.9108,3.5517,4.9843,13.457,25.3763,29.1432,5.2992,0.9984
ms_pully,3,25,15,144,0.9606,0.9249,0.4653,0.1622,0.1747,0.9173,3.5168,4.8202,22.0897,60.2458,64.2838,5.071,1.0005
